Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,3.99,4.18,3.94,4.06,15048500.0,0.0,1.0,3.99,4.18,3.94,4.06,15048500.0
2009-06-30,5.11,5.23,4.95,5.06,16379200.0,0.0,1.0,5.11,5.23,4.95,5.06,16379200.0
2009-09-30,8.4,8.45,8.08,8.2,46518200.0,0.0,1.0,8.4,8.45,8.08,8.2,46518200.0
2009-12-31,10.75,10.87,10.56,10.56,20612800.0,0.0,1.0,10.75,10.87,10.56,10.56,20612800.0
2010-03-31,10.72,10.75,10.36,10.37,38781500.0,0.0,1.0,10.72,10.75,10.36,10.37,38781500.0
2010-06-30,8.72,8.92,8.45,8.49,38844700.0,0.0,1.0,8.72,8.92,8.45,8.49,38844700.0
2010-09-30,7.4,7.49,7.12,7.21,32572800.0,0.0,1.0,7.4,7.49,7.12,7.21,32572800.0
2010-12-31,7.91,8.04,7.84,8.02,15598400.0,0.0,1.0,7.91,8.04,7.84,8.02,15598400.0
2011-03-31,11.58,11.675,11.39,11.47,31666000.0,0.0,1.0,11.58,11.675,11.39,11.47,31666000.0
2011-06-30,7.53,7.61,7.44,7.48,37962400.0,0.0,1.0,7.53,7.61,7.44,7.48,37962400.0
2011-09-30,5.44,5.5,5.01,5.04,63504100.0,0.0,1.0,5.44,5.5,5.01,5.04,63504100.0
2011-12-31,6.26,6.37,6.245,6.29,15259600.0,0.0,1.0,6.26,6.37,6.245,6.29,15259600.0
2012-03-31,8.53,8.54,8.08,8.095,50946900.0,0.0,1.0,8.53,8.54,8.08,8.095,50946900.0
2012-06-30,6.1,6.32,6.07,6.31,32253900.0,0.0,1.0,6.1,6.32,6.07,6.31,32253900.0
2012-09-30,6.05,6.24,5.97,5.98,41019800.0,0.0,1.0,6.05,6.24,5.97,5.98,41019800.0
2012-12-31,6.14,6.36,6.11,6.34,18787600.0,0.0,1.0,6.14,6.36,6.11,6.34,18787600.0
2013-03-31,10.01,10.03,9.87,9.975,21787500.0,0.0,1.0,10.01,10.03,9.87,9.975,21787500.0
2013-06-30,14.3,14.47,14.015,14.33,36612300.0,0.0,1.0,14.3,14.47,14.015,14.33,36612300.0
2013-09-30,17.32,17.64,17.14,17.469,30082400.0,0.0,1.0,17.32,17.64,17.14,17.469,30082400.0
2013-12-31,21.41,21.93,21.38,21.75,25122400.0,0.0,1.0,21.41,21.93,21.38,21.75,25122400.0
2014-03-31,22.3,23.68,22.21,23.66,39630300.0,0.0,1.0,22.3,23.68,22.21,23.66,39630300.0
2014-06-30,32.06,33.05,31.9,32.95,31032300.0,0.0,1.0,32.06,33.05,31.9,32.95,31032300.0
2014-09-30,34.63,34.73,33.89,34.26,25768922.0,0.0,1.0,34.63,34.73,33.89,34.26,25768922.0
2014-12-31,35.45,35.53,35.0,35.01,10714301.0,0.0,1.0,35.45,35.53,35.0,35.01,10714301.0
2015-03-31,26.71,27.31,26.61,27.13,25292130.0,0.0,1.0,26.71,27.31,26.61,27.13,25292130.0
2015-06-30,18.89,19.1,18.55,18.84,34683928.0,0.0,1.0,18.89,19.1,18.55,18.84,34683928.0
2015-09-30,14.73,15.33,14.7,14.96,27821088.0,0.0,1.0,14.73,15.33,14.7,14.96,27821088.0
2015-12-31,14.1,14.29,14.03,14.16,13249373.0,0.0,1.0,14.1,14.29,14.03,14.16,13249373.0
2016-03-31,10.31,10.49,10.01,10.47,48134180.0,0.0,1.0,10.31,10.49,10.01,10.47,48134180.0
2016-06-30,13.34,13.78,13.22,13.76,48486133.0,0.0,1.0,13.34,13.78,13.22,13.76,48486133.0
2016-09-30,17.75,18.0,17.575,17.78,21363073.0,0.0,1.0,17.75,18.0,17.575,17.78,21363073.0
2016-12-31,22.35,22.4,21.75,21.92,20268891.0,0.0,1.0,22.35,22.4,21.75,21.92,20268891.0
2017-03-31,29.1,29.36,28.9,28.9,32337822.0,0.0,1.0,29.1,29.36,28.9,28.9,32337822.0
2017-06-30,32.12,32.15,29.7089,29.86,72828464.0,0.0,1.0,32.12,32.15,29.7089,29.86,72828464.0
2017-09-30,37.98,39.36,37.81,39.33,45974835.0,0.0,1.0,37.98,39.36,37.81,39.33,45974835.0
2017-12-31,41.82,41.84,40.77,41.12,44367304.0,0.0,1.0,41.82,41.84,40.77,41.12,44367304.0
2018-03-31,55.06,55.47,51.68,52.4,67229050.0,0.0,1.0,55.06,55.47,51.68,52.4,67229050.0
