Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,42.21,43.97,41.67,42.92,1816900.0,0.0,1.0,6.029999999999999,6.281428571428571,5.952857142857143,6.131428571428572,12718300.0
2009-06-30,41.49,41.78,39.9109,41.34,1627400.0,0.0,1.0,5.927142857142857,5.968571428571428,5.701557142857142,5.905714285714286,11391800.0
2009-09-30,46.81,47.12,45.49,46.17,959200.0,0.0,1.0,6.687142857142857,6.73142857142857,6.498571428571428,6.595714285714285,6714400.0
2009-12-31,55.63,56.08,55.05,55.09,755900.0,0.0,1.0,7.9471428571428575,8.01142857142857,7.864285714285714,7.87,5291300.0
2010-03-31,74.3,75.06,73.72,73.74,816400.0,0.0,1.0,10.614285714285714,10.722857142857142,10.53142857142857,10.534285714285714,5714800.0
2010-06-30,109.99,113.29,107.99,108.65,3729200.0,0.0,1.0,15.71285714285714,16.184285714285714,15.427142857142856,15.521428571428572,26104400.0
2010-09-30,171.8471,174.4,161.88,162.16,10286100.0,0.0,1.0,24.549585714285715,24.914285714285715,23.125714285714285,23.165714285714284,72002700.0
2010-12-31,179.05,179.74,175.53,175.7,3080400.0,0.0,1.0,25.57857142857143,25.677142857142858,25.075714285714284,25.099999999999998,21562800.0
2011-03-31,237.28,239.7,235.04,237.78,3546100.0,0.0,1.0,33.89714285714285,34.24285714285714,33.57714285714285,33.96857142857143,24822700.0
2011-06-30,264.7,265.0,260.8,262.69,2566700.0,0.0,1.0,37.81428571428571,37.857142857142854,37.25714285714286,37.527142857142856,17966900.0
2011-09-30,109.22,115.75,107.63,113.27,10983100.0,0.0,1.0,15.602857142857141,16.535714285714285,15.375714285714285,16.18142857142857,76881700.0
2011-12-31,69.11,70.5928,68.83,69.29,3115600.0,0.0,1.0,9.872857142857143,10.084685714285714,9.832857142857142,9.89857142857143,21809200.0
2012-03-31,115.51,117.29,114.18,115.04,4181500.0,0.0,1.0,16.501428571428573,16.755714285714287,16.31142857142857,16.434285714285714,29270500.0
2012-06-30,68.3,68.76,66.83,68.485,2855900.0,0.0,1.0,9.757142857142856,9.822857142857144,9.547142857142857,9.783571428571427,19991300.0
2012-09-30,55.04,55.81,54.22,54.44,2276100.0,0.0,1.0,7.862857142857142,7.972857142857142,7.7457142857142856,7.777142857142857,15932700.0
2012-12-31,89.38,93.5,89.01,92.59,2582700.0,0.0,1.0,12.768571428571427,13.357142857142856,12.715714285714286,13.227142857142857,18078900.0
2013-03-31,190.75,192.9,188.6,189.28,2798300.0,0.0,1.0,27.25,27.557142857142857,26.94285714285714,27.04,19588100.0
2013-06-30,214.27,216.2999,210.05,211.09,2797300.0,0.0,1.0,30.61,30.899985714285712,30.007142857142856,30.155714285714286,19581100.0
2013-09-30,307.72,312.15,305.2,309.21,1789800.0,0.0,1.0,43.96,44.592857142857135,43.599999999999994,44.17285714285714,12528600.0
2013-12-31,365.5,369.15,363.63,368.17,1502400.0,0.0,1.0,52.21428571428571,52.73571428571428,51.94714285714285,52.59571428571429,10516800.0
2014-03-31,361.51,366.86,349.88,352.03,3160800.0,0.0,1.0,51.64428571428571,52.40857142857143,49.98285714285714,50.28999999999999,22125600.0
2014-06-30,442.86,446.868,439.69,440.6,1512700.0,0.0,1.0,63.26571428571428,63.83828571428571,62.81285714285714,62.94285714285714,10588900.0
2014-09-30,452.3,457.1895,449.8,451.18,1782601.0,0.0,1.0,64.61428571428571,65.31278571428571,64.25714285714285,64.45428571428572,12478207.0
2014-12-31,343.23,345.74,341.51,341.61,1232539.0,0.0,1.0,49.03285714285714,49.39142857142857,48.787142857142854,48.80142857142857,8627773.0
2015-03-31,420.77,422.9399,416.19,416.69,2035515.0,0.0,1.0,60.10999999999999,60.419985714285716,59.45571428571428,59.527142857142856,14248605.0
2015-06-30,653.5,660.49,649.5,656.94,2411494.0,0.0,1.0,93.35714285714285,94.35571428571428,92.78571428571428,93.84857142857143,16880458.0
2015-09-30,99.91,103.46,99.05,103.24,16302867.0,0.0,1.0,99.91,103.46,99.05,103.24,16302867.0
2015-12-31,116.21,117.46,114.28,114.38,9273008.0,0.0,1.0,116.21,117.46,114.28,114.38,9273008.0
2016-03-31,102.43,103.53,101.05,102.23,9747539.0,0.0,1.0,102.43,103.53,101.05,102.23,9747539.0
2016-06-30,90.91,91.7201,89.9,91.48,9098971.0,0.0,1.0,90.91,91.7201,89.9,91.48,9098971.0
2016-09-30,96.9,99.53,96.79,98.55,9807925.0,0.0,1.0,96.9,99.53,96.79,98.55,9807925.0
2016-12-31,126.24,126.57,123.6,123.8,4455351.0,0.0,1.0,126.24,126.57,123.6,123.8,4455351.0
2017-03-31,148.0,148.225,147.33,147.81,3888237.0,0.0,1.0,148.0,148.225,147.33,147.81,3888237.0
2017-06-30,149.76,150.71,148.42,149.41,5164844.0,0.0,1.0,149.76,150.71,148.42,149.41,5164844.0
2017-09-30,180.73,182.9,180.65,181.35,4193999.0,0.0,1.0,180.73,182.9,180.65,181.35,4193999.0
2017-12-31,192.51,193.95,191.22,191.96,5158845.0,0.0,1.0,192.51,193.95,191.22,191.96,5158845.0
2018-03-31,322.49,322.9,297.0,300.69,11890994.0,0.0,1.0,322.49,322.9,297.0,300.69,11890994.0
