Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,34.81,35.47,34.03,35.01,2442900.0,0.0,1.0,34.81,35.47,34.03,35.01,2442900.0
2009-06-30,38.42,38.87,37.8,38.08,1297700.0,0.0,1.0,38.42,38.87,37.8,38.08,1297700.0
2009-09-30,36.41,36.51,35.7,36.14,3008800.0,0.0,1.0,36.41,36.51,35.7,36.14,3008800.0
2009-12-31,38.65,38.7,38.12,38.12,694300.0,0.0,1.0,38.65,38.7,38.12,38.12,694300.0
2010-03-31,41.65,41.94,41.45,41.71,1617400.0,0.0,1.0,41.65,41.94,41.45,41.71,1617400.0
2010-06-30,47.64,48.47,47.3,47.56,1068300.0,0.0,1.0,47.64,48.47,47.3,47.56,1068300.0
2010-09-30,53.88,53.89,52.62,53.2,1539700.0,0.0,1.0,53.88,53.89,52.62,53.2,1539700.0
2010-12-31,60.96,61.06,60.28,60.42,422000.0,0.0,1.0,60.96,61.06,60.28,60.42,422000.0
2011-03-31,57.8,57.98,56.82,57.46,1088200.0,0.0,1.0,57.8,57.98,56.82,57.46,1088200.0
2011-06-30,64.84,65.63,64.5,65.51,1188700.0,0.0,1.0,64.84,65.63,64.5,65.51,1188700.0
2011-09-30,66.42,68.13,66.06,66.63,1475400.0,0.0,1.0,66.42,68.13,66.06,66.63,1475400.0
2011-12-31,80.88,80.98,79.94,79.95,587300.0,0.0,1.0,80.88,80.98,79.94,79.95,587300.0
2012-03-31,91.02,91.79,90.5,91.35,1175800.0,0.0,1.0,91.02,91.79,90.5,91.35,1175800.0
2012-06-30,82.21,85.06,82.2,83.77,2354400.0,0.0,1.0,82.21,85.06,82.2,83.77,2354400.0
2012-09-30,84.05,84.245,83.1401,83.62,1548200.0,0.0,1.0,84.05,84.245,83.1401,83.62,1548200.0
2012-12-31,87.85,89.48,87.76,89.42,716300.0,0.0,1.0,87.85,89.48,87.76,89.42,716300.0
2013-03-31,102.58,103.1,101.86,102.439,1629800.0,0.0,1.0,102.58,103.1,101.86,102.439,1629800.0
2013-06-30,111.33,113.62,111.3,112.62,1112900.0,0.0,1.0,111.33,113.62,111.3,112.62,1112900.0
2013-09-30,126.15,127.97,125.37,127.59,1096300.0,0.0,1.0,126.15,127.97,125.37,127.59,1096300.0
2013-12-31,128.63,129.37,128.12,128.71,330400.0,0.0,1.0,128.63,129.37,128.12,128.71,330400.0
2014-03-31,148.41,149.0,147.41,148.39,607900.0,0.0,1.0,148.41,149.0,147.41,148.39,607900.0
2014-06-30,149.39,150.62,149.29,150.6,689800.0,0.0,1.0,149.39,150.62,149.29,150.6,689800.0
2014-09-30,151.56,152.03,150.21,150.36,947184.0,0.0,1.0,151.56,152.03,150.21,150.36,947184.0
2014-12-31,195.0,196.0,192.54,192.62,587117.0,0.0,1.0,195.0,196.0,192.54,192.62,587117.0
2015-03-31,217.57,219.98,216.14,216.24,707574.0,0.0,1.0,217.57,219.98,216.14,216.24,707574.0
2015-06-30,228.65,229.17,225.0,225.98,814512.0,0.0,1.0,228.65,229.17,225.0,225.98,814512.0
2015-09-30,245.61,250.54,244.42,249.73,1004518.0,0.0,1.0,245.61,250.54,244.42,249.73,1004518.0
2015-12-31,255.95,257.41,253.42,253.42,413466.0,0.0,1.0,255.95,257.41,253.42,253.42,413466.0
2016-03-31,277.56,277.66,273.51,273.66,563832.0,0.0,1.0,277.56,277.66,273.51,273.66,563832.0
2016-06-30,274.0,274.0,269.94,271.1,1063401.0,0.0,1.0,274.0,274.0,269.94,271.1,1063401.0
2016-09-30,279.84,281.23,278.9,280.11,516526.0,0.0,1.0,279.84,281.23,278.9,280.11,516526.0
2016-12-31,282.59,283.37,277.37,278.41,577989.0,0.0,1.0,282.59,283.37,277.37,278.41,577989.0
2017-03-31,271.55,272.78,269.23,269.84,785407.0,0.0,1.0,271.55,272.78,269.23,269.84,785407.0
2017-06-30,217.44,219.48,215.76,218.74,1313248.0,0.0,1.0,217.44,219.48,215.76,218.74,1313248.0
2017-09-30,215.09,216.58,214.22,215.37,722621.0,0.0,1.0,215.09,216.58,214.22,215.37,722621.0
2017-12-31,241.34,242.51,240.28,240.54,831191.0,0.0,1.0,241.34,242.51,240.28,240.54,831191.0
2018-03-31,246.66,247.6898,238.26,238.97,854459.0,0.0,1.0,246.66,247.6898,238.26,238.97,854459.0
