Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-03-31,80.93,81.0,78.5503,79.7,2006906.0,0.0,1.0,80.93,81.0,78.5503,79.7,2006906.0
2015-06-30,80.0,81.0,78.5768,80.27,1957799.0,0.0,1.0,80.0,81.0,78.5768,80.27,1957799.0
2015-09-30,44.23,45.47,44.04,45.05,1852136.0,0.0,1.0,44.23,45.47,44.04,45.05,1852136.0
2015-12-31,51.41,51.83,49.48,50.9,1540004.0,0.0,1.0,51.41,51.83,49.48,50.9,1540004.0
2016-03-31,51.01,51.25,50.37,50.41,1029879.0,0.0,1.0,51.01,51.25,50.37,50.41,1029879.0
2016-06-30,54.79,55.26,53.84,55.26,1449991.0,0.0,1.0,54.79,55.26,53.84,55.26,1449991.0
2016-09-30,54.11,56.21,53.86,55.74,2216516.0,0.0,1.0,54.11,56.21,53.86,55.74,2216516.0
2016-12-31,53.75,53.8087,52.05,52.73,1223168.0,0.0,1.0,53.75,53.8087,52.05,52.73,1223168.0
2017-03-31,69.16,69.16,68.54,68.56,1060668.0,0.0,1.0,69.16,69.16,68.54,68.56,1060668.0
2017-06-30,64.45,64.8,63.06,63.32,1548858.0,0.0,1.0,64.45,64.8,63.06,63.32,1548858.0
2017-09-30,70.2,71.09,69.22,70.68,975423.0,0.0,1.0,70.2,71.09,69.22,70.68,975423.0
2017-12-31,67.36,67.57,66.58,66.6,704317.0,0.0,1.0,67.36,67.57,66.58,66.6,704317.0
2018-03-31,73.49,73.57,69.6345,70.23,1771292.0,0.0,1.0,73.49,73.57,69.6345,70.23,1771292.0
