Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,23.29,23.6975,22.79,23.3,1928500.0,0.0,1.0,23.29,23.6975,22.79,23.3,1928500.0
2009-06-30,24.77,24.99,24.25,24.54,1539800.0,0.0,1.0,24.77,24.99,24.25,24.54,1539800.0
2009-09-30,27.3,27.72,26.96,27.03,2362600.0,0.0,1.0,27.3,27.72,26.96,27.03,2362600.0
2009-12-31,34.45,34.51,34.16,34.16,775000.0,0.0,1.0,34.45,34.51,34.16,34.16,775000.0
2010-03-31,36.29,36.56,36.02,36.07,976200.0,0.0,1.0,36.29,36.56,36.02,36.07,976200.0
2010-06-30,34.16,34.48,33.88,34.01,1067600.0,0.0,1.0,34.16,34.48,33.88,34.01,1067600.0
2010-09-30,40.48,40.6,39.845,40.3,1333900.0,0.0,1.0,40.48,40.6,39.845,40.3,1333900.0
2010-12-31,40.74,41.0,40.74,40.94,365900.0,0.0,1.0,40.74,41.0,40.74,40.94,365900.0
2011-03-31,39.64,39.8,39.42,39.68,1945500.0,0.0,1.0,39.64,39.8,39.42,39.68,1945500.0
2011-06-30,38.3,38.3984,37.96,38.19,1549400.0,0.0,1.0,38.3,38.3984,37.96,38.19,1549400.0
2011-09-30,34.93,35.19,34.26,34.48,1585300.0,0.0,1.0,34.93,35.19,34.26,34.48,1585300.0
2011-12-31,42.87,43.03,42.57,42.96,556000.0,0.0,1.0,42.87,43.03,42.57,42.96,556000.0
2012-03-31,50.98,51.51,50.75,50.81,1081500.0,0.0,1.0,50.98,51.51,50.75,50.81,1081500.0
2012-06-30,57.7,57.83,56.54,57.05,1442400.0,0.0,1.0,57.7,57.83,56.54,57.05,1442400.0
2012-09-30,62.1,63.22,62.05,62.9,1894700.0,0.0,1.0,62.1,63.22,62.05,62.9,1894700.0
2012-12-31,70.6,71.17,69.94,70.98,1527600.0,0.0,1.0,70.6,71.17,69.94,70.98,1527600.0
2013-03-31,72.25,72.54,71.36,72.0,1481400.0,0.0,1.0,72.25,72.54,71.36,72.0,1481400.0
2013-06-30,74.29,74.72,73.975,74.12,2281500.0,0.0,1.0,74.29,74.72,73.975,74.12,2281500.0
2013-09-30,79.06,80.65,78.8,80.46,1471500.0,0.0,1.0,79.06,80.65,78.8,80.46,1471500.0
2013-12-31,89.63,90.0,89.39,89.84,495000.0,0.0,1.0,89.63,90.0,89.39,89.84,495000.0
2014-03-31,92.67,93.03,90.72,90.96,1755700.0,0.0,1.0,92.67,93.03,90.72,90.96,1755700.0
2014-06-30,101.28,102.57,100.46,102.3,1032200.0,0.0,1.0,101.28,102.57,100.46,102.3,1032200.0
2014-09-30,110.68,111.38,110.28,110.9,781329.0,0.0,1.0,110.68,111.38,110.28,110.9,781329.0
2014-12-31,112.54,112.54,110.6,110.76,434137.0,0.0,1.0,112.54,112.54,110.6,110.76,434137.0
2015-03-31,120.45,121.1,117.09,117.1,1409183.0,0.0,1.0,120.45,121.1,117.09,117.1,1409183.0
2015-06-30,116.49,116.62,114.75,114.97,935661.0,0.0,1.0,116.49,116.62,114.75,114.97,935661.0
2015-09-30,104.88,105.81,103.414,104.61,1660611.0,0.0,1.0,104.88,105.81,103.414,104.61,1660611.0
2015-12-31,104.67,106.19,103.485,105.07,689379.0,0.0,1.0,104.67,106.19,103.485,105.07,689379.0
2016-03-31,99.64,101.13,99.64,100.17,906890.0,0.0,1.0,99.64,101.13,99.64,100.17,906890.0
2016-06-30,107.76,108.3,106.45,107.94,1463625.0,0.0,1.0,107.76,108.3,106.45,107.94,1463625.0
2016-09-30,112.03,112.57,110.87,112.16,721554.0,0.0,1.0,112.03,112.57,110.87,112.16,721554.0
2016-12-31,104.2,104.2,102.79,103.26,609957.0,0.0,1.0,104.2,104.2,102.79,103.26,609957.0
2017-03-31,118.74,120.51,118.21,120.37,1366331.0,0.0,1.0,118.74,120.51,118.21,120.37,1366331.0
2017-06-30,134.61,135.8489,134.01,134.9,1075522.0,0.0,1.0,134.61,135.8489,134.01,134.9,1075522.0
2017-09-30,143.59,145.0,143.16,144.05,986679.0,0.0,1.0,143.59,145.0,143.16,144.05,986679.0
2017-12-31,163.56,164.74,162.52,163.36,590578.0,0.0,1.0,163.56,164.74,162.52,163.36,590578.0
2018-03-31,173.3,175.0,169.49,170.1,944116.0,0.0,1.0,173.3,175.0,169.49,170.1,944116.0
