Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,23.03,23.2,22.36,22.8,4208800.0,0.0,1.0,17.290657274522,17.418291305641,16.78762903423,17.117975938302,4208800.0
2009-06-30,22.61,22.74,22.28,22.48,3297000.0,0.24,1.0,17.338348715196,17.438038468976,17.085290109446,17.238658961415,3297000.0
2009-09-30,25.06,25.14,24.5,24.85,5436600.0,0.0,1.0,19.217117151827,19.278464692615,18.787684366311,19.056079857259,5436600.0
2009-12-31,28.37,28.38,27.91,27.94,1734000.0,0.0,1.0,22.161492593388,22.169304187535,21.802159262653,21.825594045092,1734000.0
2010-03-31,29.63,29.68,29.45,29.5,3172200.0,0.0,1.0,23.340451920304,23.379838440588,23.198660447282,23.238046967566,3172200.0
2010-06-30,28.95,28.98,28.54,28.57,4355400.0,0.25,1.0,23.004347180427,23.028185882169,22.678551589962,22.702390291703,4355400.0
2010-09-30,28.75,28.84,28.21,28.52,6643400.0,0.0,1.0,23.042501716283,23.114634765134,22.609703423177,22.858161702553,6643400.0
2010-12-31,29.32,29.54,29.29,29.4,2396000.0,0.0,1.0,23.499344359006,23.675669589531,23.475300009389,23.563462624651,2396000.0
2011-03-31,27.72,27.77,27.6,27.7,2881100.0,0.0,1.0,22.621954082795,22.662758473276,22.52402354564,22.605632326602,2881100.0
2011-06-30,31.16,31.31,31.0,31.18,2199900.0,0.0,1.0,25.642780713562,25.766221570656,25.511110465996,25.659239494508,2199900.0
2011-09-30,26.0,26.41,25.85,25.9,4490200.0,0.0,1.0,21.396415229545,21.733820238934,21.272974372451,21.314121324816,4490200.0
2011-12-31,29.15,29.48,29.08,29.33,1821900.0,0.0,1.0,24.233551714548,24.50789380943,24.175357936846,24.383192857211,1821900.0
2012-03-31,29.9,29.97,29.73,29.86,2835700.0,0.0,1.0,25.08848424283,25.147219824669,24.945840686934,25.054921053207,2835700.0
2012-06-30,29.47,29.86,29.47,29.81,3940000.0,0.0,1.0,24.95278021021,25.283000240138,24.95278021021,25.240664338865,3940000.0
2012-09-30,31.17,31.32,31.0,31.27,2454300.0,0.0,1.0,26.633674734559,26.761844487853,26.488415680825,26.719121236755,2454300.0
2012-12-31,31.22,31.68,31.2,31.66,2573900.0,0.0,1.0,26.904329234268,27.300741516388,26.887093917654,27.283506199774,2573900.0
2013-03-31,35.06,35.345,35.03,35.17,3920400.0,0.0,1.0,30.478706977323,30.726466004378,30.452627079739,30.574333268467,3920400.0
2013-06-30,34.28,34.48,34.15,34.16,2984100.0,0.0,1.0,30.042489822708,30.217766892852,29.928559727114,29.937323580621,2984100.0
2013-09-30,31.84,32.08,31.77,31.83,3570800.0,0.0,1.0,28.133705531649,28.345768638672,28.071853792101,28.124869568856,3570800.0
2013-12-31,36.3,36.48,36.03,36.1,3690900.0,0.29,1.0,32.618062178525,32.779804635609,32.3754484929,32.438348337321,3690900.0
2014-03-31,36.06,36.29,35.99,36.13,3528100.0,0.0,1.0,32.40240556908,32.609076486465,32.339505724659,32.465305413502,3528100.0
2014-06-30,37.78,37.99,37.29,37.45,4736300.0,0.0,1.0,34.223403583149,34.413634254204,33.779532017354,33.924469671491,4736300.0
2014-09-30,38.04,38.1,37.83,37.95,3213666.0,0.0,1.0,34.727920243091,34.782696142528,34.536204595061,34.645756393935,3213666.0
2014-12-31,40.1,40.46,39.68,39.69,2455412.0,0.0,1.0,37.17049870388,37.504198941621,36.781181759849,36.790451210898,2455412.0
2015-03-31,37.91,37.98,37.705,37.73,3112379.0,0.3,1.0,35.41989911982,35.485301202078,35.228364450351,35.251722336872,3112379.0
2015-06-30,37.25,37.27,35.965,36.1,16804259.0,0.3,1.0,35.092474607496,35.111316204601,33.88190199352,34.009082773976,16804259.0
2015-09-30,39.03,39.23,38.73,38.97,4875592.0,0.3,1.0,37.052435847196,37.242302287612,36.767636186571,36.995475915071,4875592.0
2015-12-31,41.25,41.33,40.95,41.0,3417751.0,0.0,1.0,39.159953335814,39.23589991198,38.87515367519,38.922620285294,3417751.0
2016-03-31,46.62,46.9,46.52,46.73,3243856.0,0.0,1.0,44.895743563474,45.16538766896,44.799442097229,45.001675176344,3243856.0
2016-06-30,50.24,50.75,50.1,50.74,5408836.0,0.0,1.0,48.680510077606,49.174679268283,48.54485578997,49.164989676309,5408836.0
2016-09-30,49.16,49.397,48.7,49.01,3490722.0,0.0,1.0,47.634034144409,47.863677474194,47.188312913603,47.488690264799,3490722.0
2016-12-31,55.92,56.06,55.205,55.37,2318516.0,0.0,1.0,54.535822800314,54.672357406753,53.838521060289,53.999436846448,2318516.0
2017-03-31,51.94,52.17,51.91,51.92,2105992.0,0.0,1.0,50.957328509571,51.182977057072,50.927896090332,50.937706896745,2105992.0
2017-06-30,49.94,50.47,49.94,50.33,3777544.0,0.0,1.0,49.308751501293,49.832052228078,49.308751501293,49.693821847418,3777544.0
2017-09-30,54.0,54.35,53.89,53.95,1782118.0,0.0,1.0,53.67374588063,54.021631270597,53.564410472354,53.624047967777,1782118.0
2017-12-31,61.06,61.25,60.72,60.73,1105892.0,0.0,1.0,61.06,61.25,60.72,60.73,1105892.0
2018-03-31,60.2,60.2,58.97,59.36,3901888.0,0.0,1.0,60.2,60.2,58.97,59.36,3901888.0
