Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,9.28,9.59,9.14,9.39,3955200.0,0.0,1.0,8.4958578851672,8.7796634826243,8.3676876153479,8.5965630971681,3955200.0
2009-06-30,12.7,12.92,12.2999,12.61,6280800.0,0.0,1.0,11.66038131934,11.86237217684,11.293033400767,11.577748695817,6280800.0
2009-09-30,12.57,12.67,12.35,12.63,3795800.0,0.0,1.0,11.580211618759,11.672337407293,11.377534883984,11.63548709188,3795800.0
2009-12-31,12.53,12.53,12.27,12.27,1773800.0,0.0,1.0,11.580931234357,11.580931234357,11.340624600603,11.340624600603,1773800.0
2010-03-31,19.17,19.25,19.0,19.15,4105100.0,0.0,1.0,17.759682353106,17.833796833453,17.602189082369,17.741153733019,4105100.0
2010-06-30,16.77,16.88,16.35,16.39,7474600.0,0.0,1.0,15.571200131549,15.673336805042,15.18122374185,15.218364350393,7474600.0
2010-09-30,15.44,16.09,15.44,16.02,8977800.0,0.0,1.0,14.371241421643,14.976248346777,14.371241421643,14.911093754839,8977800.0
2010-12-31,17.56,17.56,17.17,17.22,2329100.0,0.0,1.0,16.38487648167,16.38487648167,16.020975466417,16.067629442731,2329100.0
2011-03-31,19.66,19.7,19.13,19.19,4473800.0,0.0,1.0,18.383229217643,18.420631515136,17.887648775866,17.943752222105,4473800.0
2011-06-30,19.42,19.63,19.32,19.42,6929000.0,0.0,1.0,18.197993028011,18.394778740467,18.10428554589,18.197993028011,6929000.0
2011-09-30,16.92,17.85,16.9,17.36,5591000.0,0.0,1.0,15.891796897814,16.765282188297,15.873012267911,16.305058755677,5591000.0
2011-12-31,20.88,20.9,20.625,20.64,2616100.0,0.0,1.0,19.65101368691,19.669836496954,19.411022858837,19.42513996637,2616100.0
2012-03-31,19.3,19.33,19.12,19.15,3751700.0,0.0,1.0,18.202091382444,18.230384788738,18.032330944681,18.060624350975,3751700.0
2012-06-30,19.27,19.27,18.53,18.83,3386200.0,0.0,1.0,18.211483404821,18.211483404821,17.512132199861,17.795652958629,3386200.0
2012-09-30,16.24,16.33,15.95,16.02,5434800.0,0.0,1.0,15.387176743167,15.472450505906,15.112405729896,15.178729767582,5434800.0
2012-12-31,19.11,19.45,19.08,19.4,2916100.0,0.0,1.0,18.248808689933,18.573486604877,18.220160638614,18.525739852679,2916100.0
2013-03-31,24.22,24.85,24.05,24.82,5147700.0,0.0,1.0,23.179832280867,23.782775895109,23.017133210357,23.754064294431,5147700.0
2013-06-30,25.22,25.745,25.07,25.68,4003800.0,0.0,1.0,24.184474133725,24.687917786389,24.040633090106,24.625586667488,4003800.0
2013-09-30,28.43,28.58,28.18,28.28,5462300.0,0.0,1.0,27.310585775539,27.454679615367,27.070429375824,27.16649193571,5462300.0
2013-12-31,33.58,33.89,33.28,33.46,1367800.0,0.0,1.0,32.334151426974,32.632650144733,32.04528170011,32.218603536228,1367800.0
2014-03-31,43.8,44.22,43.28,44.01,3312900.0,0.0,1.0,42.255857736795,42.661050893175,41.754190019372,42.458454314985,3312900.0
2014-06-30,37.22,37.56,36.93,37.54,4776400.0,0.0,1.0,35.973919653828,36.302536867216,35.693628501233,36.283206442899,4776400.0
2014-09-30,38.93,39.87,38.83,39.37,6447222.0,0.0,1.0,37.701505202881,38.611842086793,37.604660853528,38.127620340031,6447222.0
2014-12-31,40.46,40.83,40.06,40.09,2397310.0,0.0,1.0,39.25307736768,39.612040260068,38.865009375908,38.894114475291,2397310.0
2015-03-31,38.4,38.66,38.1,38.3,4619223.0,0.0,1.0,37.344731876425,37.597586831838,37.052976158641,37.247479970497,4619223.0
2015-06-30,43.1,43.66,42.58,42.63,4170861.0,0.0,1.0,42.014545649749,42.560442298563,41.507641618708,41.556382390924,4170861.0
2015-09-30,42.35,43.2,42.28,43.1,4293220.0,0.0,1.0,41.380298060103,42.210835329314,41.311900873227,42.113125062348,4293220.0
2015-12-31,53.49,53.785,53.31,53.33,2338636.0,0.0,1.0,52.420311479048,52.709412093861,52.243911103908,52.263511145591,2338636.0
2016-03-31,67.64,67.67,66.61,66.66,3091084.0,0.0,1.0,66.439912722242,66.469380454082,65.428187262397,65.477300148798,3091084.0
2016-06-30,64.31,66.81,64.24,66.79,4877715.0,0.0,1.0,63.3146122715,65.7759173668,63.245695728831,65.756226926037,4877715.0
2016-09-30,75.2,75.55,74.42,74.67,2591242.0,0.0,1.0,74.183285273918,74.528553223996,73.413830985173,73.660450949514,2591242.0
2016-12-31,62.18,62.19,61.34,61.68,1792891.0,0.0,1.0,61.495370747256,61.505260642841,60.66461951812,61.000875968008,1792891.0
2017-03-31,61.63,62.1,61.575,61.71,2473859.0,0.0,1.0,61.17134424121,61.637846460801,61.116753555939,61.250748874332,2473859.0
2017-06-30,61.7,62.92,61.7,62.63,2819415.0,0.0,1.0,61.478641473332,62.694264530017,61.478641473332,62.405304950969,2819415.0
2017-09-30,69.0,70.8,68.67,70.45,6386576.0,0.0,1.0,69.0,70.8,68.67,70.45,6386576.0
2017-12-31,81.63,81.735,81.07,81.07,780395.0,0.0,1.0,81.63,81.735,81.07,81.07,780395.0
2018-03-31,74.3,75.15,73.72,74.03,2324709.0,0.0,1.0,74.3,75.15,73.72,74.03,2324709.0
