Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-12-31,62.36,65.22,61.65,63.65,27814600.0,0.0,1.0,62.36,65.22,61.65,63.65,27814600.0
2014-03-31,47.55,47.75,46.43,46.67,5794500.0,0.0,1.0,47.55,47.75,46.43,46.67,5794500.0
2014-06-30,40.81,41.34,40.35,40.97,22747500.0,0.0,1.0,40.81,41.34,40.35,40.97,22747500.0
2014-09-30,52.0,52.19,51.17,51.58,12289163.0,0.0,1.0,52.0,52.19,51.17,51.58,12289163.0
2014-12-31,35.89,36.49,35.47,35.87,17650083.0,0.0,1.0,35.89,36.49,35.47,35.87,17650083.0
2015-03-31,49.62,51.24,49.54,50.08,23876901.0,0.0,1.0,49.62,51.24,49.54,50.08,23876901.0
2015-06-30,34.5,36.42,34.44,36.22,26095592.0,0.0,1.0,34.5,36.42,34.44,36.22,26095592.0
2015-09-30,25.94,27.33,25.88,26.94,25208210.0,0.0,1.0,25.94,27.33,25.88,26.94,25208210.0
2015-12-31,22.17,23.28,22.15,23.14,19468865.0,0.0,1.0,22.17,23.28,22.15,23.14,19468865.0
2016-03-31,16.4,16.84,16.21,16.55,18882700.0,0.0,1.0,16.4,16.84,16.21,16.55,18882700.0
2016-06-30,16.8,17.0,16.73,16.91,14111037.0,0.0,1.0,16.8,17.0,16.73,16.91,14111037.0
2016-09-30,23.02,23.25,22.82,23.05,16858640.0,0.0,1.0,23.02,23.25,22.82,23.05,16858640.0
2016-12-31,16.31,16.5701,16.22,16.3,14008737.0,0.0,1.0,16.31,16.5701,16.22,16.3,14008737.0
2017-03-31,14.93,15.06,14.91,14.95,8402610.0,0.0,1.0,14.93,15.06,14.91,14.95,8402610.0
2017-06-30,17.66,18.075,17.47,17.87,13357270.0,0.0,1.0,17.66,18.075,17.47,17.87,13357270.0
2017-09-30,16.89,17.04,16.75,16.87,9348597.0,0.0,1.0,16.89,17.04,16.75,16.87,9348597.0
2017-12-31,24.27,24.33,23.91,24.01,10312418.0,0.0,1.0,24.27,24.33,23.91,24.01,10312418.0
2018-03-31,31.85,31.9,27.88,28.07,79821992.0,0.0,1.0,31.85,31.9,27.88,28.07,79821992.0
