Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,16.62,16.84,16.08,16.43,439200.0,0.0,1.0,2.0775,2.105,2.01,2.05375,3513600.0
2009-06-30,22.6,23.0,22.29,22.38,473100.0,0.0,1.0,2.825,2.875,2.78625,2.7975,3784800.0
2009-09-30,29.15,29.43,27.77,27.83,773900.0,0.0,1.0,3.64375,3.67875,3.47125,3.47875,6191200.0
2009-12-31,27.86,28.0,27.25,27.27,304500.0,0.0,1.0,3.4825,3.5,3.40625,3.40875,2436000.0
2010-03-31,30.09,30.34,29.29,29.41,569700.0,0.0,1.0,3.76125,3.7925,3.66125,3.67625,4557600.0
2010-06-30,33.71,34.47,33.02,33.13,551200.0,0.0,1.0,4.21375,4.30875,4.1275,4.14125,4409600.0
2010-09-30,45.87,46.0,44.56,45.04,555800.0,0.0,1.0,5.73375,5.75,5.57,5.63,4446400.0
2010-12-31,55.14,55.35,54.6,54.84,449600.0,0.0,1.0,6.8925,6.91875,6.825,6.855,3596800.0
2011-03-31,69.09,69.5,67.66,68.05,651400.0,0.0,1.0,8.63625,8.6875,8.4575,8.50625,5211200.0
2011-06-30,77.1,77.98,76.98,77.31,672300.0,0.0,1.0,9.6375,9.7475,9.6225,9.66375,5378400.0
2011-09-30,69.21,70.41,66.38,66.41,1089100.0,0.0,1.0,8.65125,8.80125,8.2975,8.30125,8712800.0
2011-12-31,71.85,73.355,71.49,71.79,514500.0,0.0,1.0,8.98125,9.169375,8.93625,8.97375,4116000.0
2012-03-31,94.86,96.055,93.37,94.0,708100.0,0.0,1.0,11.8575,12.006875,11.67125,11.75,5664800.0
2012-06-30,91.04,95.0,91.04,94.48,2682000.0,0.0,1.0,11.38,11.875,11.38,11.81,21456000.0
2012-09-30,55.21,56.35,54.87,55.83,1289600.0,0.0,1.0,13.8025,14.0875,13.7175,13.9575,5158400.0
2012-12-31,47.13,48.84,47.12,48.53,1400300.0,0.0,1.0,11.7825,12.21,11.78,12.1325,5601200.0
2013-03-31,50.71,51.75,50.71,51.2,1313000.0,0.0,1.0,12.6775,12.9375,12.6775,12.8,5252000.0
2013-06-30,58.45,59.95,58.05,59.71,1802000.0,0.0,1.0,14.6125,14.9875,14.5125,14.9275,7208000.0
2013-09-30,79.08,79.95,78.67,79.45,912000.0,0.0,1.0,19.77,19.9875,19.6675,19.8625,3648000.0
2013-12-31,87.02,87.4,86.7,87.3,351100.0,0.0,1.0,21.755,21.85,21.675,21.825,1404400.0
2014-03-31,115.91,116.3799,114.31,114.64,1032500.0,0.0,1.0,28.9775,29.094975,28.5775,28.66,4130000.0
2014-06-30,59.48,60.17,59.07,59.49,2680900.0,0.0,1.0,29.74,30.085,29.535,29.745,5361800.0
2014-09-30,70.07,70.5,68.88,69.1,2506753.0,0.0,1.0,35.035,35.25,34.44,34.55,5013506.0
2014-12-31,68.54,69.2,67.85,67.9,1330815.0,0.0,1.0,34.27,34.6,33.925,33.95,2661630.0
2015-03-31,80.59,81.79,80.46,80.75,2025908.0,0.0,1.0,40.295,40.895,40.23,40.375,4051816.0
2015-06-30,83.89,84.036,83.0301,83.44,1870178.0,0.0,1.0,41.945,42.018,41.51505,41.72,3740356.0
2015-09-30,96.21,98.54,94.68,96.78,4305740.0,0.0,1.0,48.105,49.27,47.34,48.39,8611480.0
2015-12-31,80.89,81.715,80.47,80.61,2354487.0,0.0,1.0,40.445,40.8575,40.235,40.305,4708974.0
2016-03-31,85.62,86.83,84.74,84.83,2531010.0,0.0,1.0,42.81,43.415,42.37,42.415,5062020.0
2016-06-30,39.7,40.28,39.1501,40.13,4644785.0,0.0,1.0,39.7,40.28,39.1501,40.13,4644785.0
2016-09-30,38.91,39.02,38.57,38.68,3732873.0,0.0,1.0,38.91,39.02,38.57,38.68,3732873.0
2016-12-31,29.16,29.35,29.0,29.05,3711873.0,0.0,1.0,29.16,29.35,29.0,29.05,3711873.0
2017-03-31,20.09,20.22,19.78,19.78,4055264.0,0.0,1.0,20.09,20.22,19.78,19.78,4055264.0
2017-06-30,21.7,21.99,21.49,21.76,3506791.0,0.0,1.0,21.7,21.99,21.49,21.76,3506791.0
2017-09-30,16.49,16.64,16.38,16.48,3498221.0,0.0,1.0,16.49,16.64,16.38,16.48,3498221.0
2017-12-31,15.49,15.582,14.39,14.43,8997010.0,0.0,1.0,15.49,15.582,14.39,14.43,8997010.0
2018-03-31,16.65,16.8555,16.36,16.44,5145239.0,0.0,1.0,16.65,16.8555,16.36,16.44,5145239.0
