Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,22.07,23.03,21.45,22.61,6661800.0,0.0,1.0,13.082319701551,13.651373934152,12.714805509663,13.402412707389,6661800.0
2009-06-30,29.58,29.98,29.27,29.86,2378700.0,0.0,1.0,17.823113740365,18.064129477219,17.636326544303,17.991824756163,2378700.0
2009-09-30,39.21,39.4,38.17,38.5,2698100.0,0.0,1.0,23.945718408874,24.061752239471,23.310585862452,23.512118305066,2698100.0
2009-12-31,44.37,44.71,43.72,43.74,1341600.0,0.0,1.0,27.416272083051,27.626358459167,27.014636364007,27.026994386132,1341600.0
2010-03-31,47.91,48.12,47.41,47.48,1690100.0,0.0,1.0,29.952418666539,30.083706663199,29.639828198301,29.683590863854,1690100.0
2010-06-30,47.06,47.88,46.82,46.95,2574400.0,0.0,1.0,29.764014281207,30.282639264432,29.612221603189,29.694442637115,2574400.0
2010-09-30,51.55,52.09,51.16,51.57,1438300.0,0.0,1.0,32.932978261181,33.277959992723,32.6838247884,32.945755362349,1438300.0
2010-12-31,52.83,53.35,52.43,52.48,971300.0,0.0,1.0,34.120953279597,34.456802147767,33.86260799639,33.894901156791,971300.0
2011-03-31,53.67,54.36,53.54,54.3,1117000.0,0.0,1.0,35.04363286728,35.494165877871,34.958749836299,35.454989094342,1117000.0
2011-06-30,53.83,53.83,52.68,52.71,2535200.0,0.0,1.0,35.527994514965,35.527994514965,34.768990359435,34.78879046784,2535200.0
2011-09-30,48.98,50.13,48.98,49.4,3015600.0,0.0,1.0,32.688071105945,33.455553379767,32.688071105945,32.968368979863,3015600.0
2011-12-31,55.4,55.77,55.13,55.13,1047300.0,0.0,1.0,37.390291492173,37.64001004546,37.208064439774,37.208064439774,1047300.0
2012-03-31,57.32,57.61,57.08,57.1,2296200.0,0.0,1.0,39.117055358309,39.314960907051,38.953271455901,38.966920114435,2296200.0
2012-06-30,62.92,63.12,62.34,63.12,1851100.0,0.0,1.0,43.401268478374,43.539225466544,43.00119321268,43.539225466544,1851100.0
2012-09-30,61.8,62.35,61.52,62.25,2332700.0,0.0,1.0,43.03507158007,43.418069789925,42.840090673235,43.34843375177,2332700.0
2012-12-31,63.94,64.72,63.69,64.72,1188400.0,0.0,1.0,44.959744164773,45.508205229029,44.783955362127,45.508205229029,1188400.0
2013-03-31,72.24,73.22,71.92,73.2,1995000.0,0.0,1.0,51.2759503917,51.971554369882,51.048814398824,51.957358370327,1995000.0
2013-06-30,69.74,70.3,68.91,69.46,3144600.0,0.0,1.0,49.965699772662,50.366915601063,49.371040598425,49.765091858462,3144600.0
2013-09-30,62.33,63.09,61.12,61.5,2109300.0,0.0,1.0,45.14428965776,45.694741448871,44.267912464019,44.543138359574,2109300.0
2013-12-31,57.74,57.93,57.12,57.28,1664300.0,0.0,1.0,42.368518514178,42.507936915939,41.913574255799,42.030979225703,1664300.0
2014-03-31,60.77,60.82,60.01,60.57,1535700.0,0.0,1.0,45.104791353705,45.141902421134,44.540703128778,44.956347083987,1535700.0
2014-06-30,64.11,64.19,63.4,64.1,1927600.0,0.0,1.0,48.122089059098,48.182138460513,47.589150621538,48.114582883921,1927600.0
2014-09-30,62.15,62.38,61.63,61.95,2507964.0,0.0,1.0,47.18025557644,47.354856683159,46.785505248206,47.028428527119,2507964.0
2014-12-31,73.18,73.38,71.64,71.7,1474524.0,0.0,1.0,56.164335421691,56.317831828965,54.982413085678,55.02846200786,1474524.0
2015-03-31,73.96,74.0,72.8821,73.02,1878552.0,0.0,1.0,57.36618017607,57.39720569266,56.530120067744,56.63708053619,1878552.0
2015-06-30,62.74,62.84,62.0,62.09,1686647.0,0.0,1.0,49.25679720126,49.335306600688,48.675827645491,48.746486104977,1686647.0
2015-09-30,56.23,56.48,55.73,56.06,3013593.0,0.0,1.0,51.129059022751,51.35638011035,50.674416847554,50.974480683184,3013593.0
2015-12-31,56.65,56.945,56.26,56.43,2056231.0,0.0,1.0,52.197019381653,52.468830868283,51.83767538238,51.994312510268,2056231.0
2016-03-31,62.81,63.63,62.4795,62.96,3145311.0,0.0,1.0,58.617780085844,59.383049623662,58.309339131881,58.757768415933,3145311.0
2016-06-30,72.04,72.884,71.47,72.82,2435065.0,0.0,1.0,67.975465016826,68.771846089482,67.437624718941,68.711457003404,2435065.0
2016-09-30,72.41,72.98,70.59,70.63,2515718.0,0.0,1.0,69.065372879458,69.609044506875,67.329438911213,67.367591306119,2515718.0
2016-12-31,61.87,62.69,61.77,62.52,1741973.0,0.0,1.0,59.760367779178,60.552407565487,59.663777561335,60.388204195154,1741973.0
2017-03-31,64.32,65.11,63.89,65.04,2530460.0,0.0,1.0,62.883163205704,63.655515490102,62.462768924322,63.587079211738,2530460.0
2017-06-30,69.37,69.9,69.25,69.48,1323890.0,0.0,1.0,68.603671869432,69.127816976694,68.484997505523,68.712456703015,1323890.0
2017-09-30,65.21,65.68,64.92,65.13,1535133.0,0.0,1.0,65.21,65.68,64.92,65.13,1535133.0
2017-12-31,59.75,60.49,59.61,60.01,1545173.0,0.0,1.0,59.75,60.49,59.61,60.01,1545173.0
2018-03-31,48.28,49.63,47.82,49.01,2213185.0,0.0,1.0,48.28,49.63,47.82,49.01,2213185.0
