Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,30.54,30.98,30.02,30.2,22827900.0,0.0,1.0,18.7098750557121,18.979434486770167,18.391304819007114,18.501579131712685,22827900.0
2009-06-30,31.44,31.44,30.55,30.73,18135800.0,0.0,1.0,19.54057112885063,19.54057112885063,18.98741882908355,19.099292327912845,18135800.0
2009-09-30,30.27,30.34,30.03,30.27,19299800.0,0.0,1.0,19.11545834135624,19.159663233457163,18.963898711295933,19.11545834135624,19299800.0
2009-12-31,33.45,33.49,33.13,33.13,7982700.0,0.0,1.0,21.46513879478929,21.49080712219711,21.259792175526734,21.259792175526734,7982700.0
2010-03-31,31.21,31.23,30.89,31.02,22853800.0,0.0,1.0,20.325743895367328,20.338769043650164,20.117341522841933,20.20200498668037,22853800.0
2010-06-30,28.76,28.77,27.8,28.02,29439100.0,0.0,1.0,19.02437049046158,19.03098536198121,18.389342824576907,18.53486999800881,29439100.0
2010-09-30,32.75,33.09,32.5175,32.59,15659000.0,0.0,1.0,23.569763348503425,23.814457074869573,23.402436020914813,23.454613359625245,15659000.0
2010-12-31,35.62,36.0,35.61,35.78,12139700.0,0.0,1.0,26.009882350402076,26.28736003971013,26.002580305946605,26.12671506168968,12139700.0
2011-03-31,38.53,38.78,38.33,38.54,14236900.0,0.0,1.0,28.5133504011431,28.69835786546404,28.365344429686346,28.520750699715936,14236900.0
2011-06-30,36.88,37.25,36.8,37.23,26073600.0,0.0,1.0,27.643820206746557,27.92115788235654,27.58385530391196,27.90616665664789,26073600.0
2011-09-30,36.93,37.34,36.78,36.8,16539500.0,0.0,1.0,28.040771710206272,28.35208274191991,27.92687743031104,27.94206333429707,16539500.0
2011-12-31,39.85,40.25,39.82,40.12,10110900.0,0.0,1.0,30.68086468031563,30.988828190281154,30.65776741706821,30.888740049542356,10110900.0
2012-03-31,38.32,38.34,38.0,38.23,12023200.0,0.0,1.0,29.887758210537523,29.90335724926954,29.63817359082531,29.81756253624346,12023200.0
2012-06-30,44.42,44.77,44.25,44.44,18465400.0,0.0,1.0,35.105441989067145,35.382049478850426,34.971089779743835,35.12124813134047,18465400.0
2012-09-30,45.63,45.7,45.26,45.57,28238300.0,0.0,1.0,36.467631129208364,36.52357533650717,36.171926033486095,36.41967895152367,28238300.0
2012-12-31,42.53,43.27,42.49,43.27,14650300.0,0.0,1.0,34.3621508862109,34.96003453671163,34.3298328510487,34.96003453671163,14650300.0
2013-03-31,48.99,49.19,48.9,49.15,13567000.0,0.0,1.0,40.05447132560082,40.21799233529913,39.980886871236585,40.18528813335947,13567000.0
2013-06-30,50.93,51.23,50.33,50.34,11162600.0,0.0,1.0,42.07446938300908,42.32230643022885,41.578795288569545,41.587056523476875,11162600.0
2013-09-30,46.57,46.915,46.32,46.675,12315600.0,0.0,1.0,38.859777804262485,39.147658915331206,38.65116830348805,38.94739379458775,12315600.0
2013-12-31,49.0,49.22,48.78,49.14,7557100.0,0.0,1.0,41.35804532096373,41.543734504037445,41.17235613789002,41.47621116473791,7557100.0
2014-03-31,47.66,47.83,47.5,47.57,20744100.0,0.0,1.0,40.66662372945901,40.81167882878776,40.53010128303196,40.5898298533438,20744100.0
2014-06-30,49.27,49.45,48.81,48.93,16818500.0,0.0,1.0,42.50255470783671,42.65783093774153,42.10573767585771,42.20925516246093,16818500.0
2014-09-30,49.67,50.24,49.6,49.99,13068736.0,0.0,1.0,43.31334792038924,43.81040063459544,43.25230635899549,43.59239505818921,13068736.0
2014-12-31,47.08,47.4,46.7,46.78,14029543.0,0.0,1.0,41.507590288821746,41.78971494668969,41.17256725760356,41.243098422070545,14029543.0
2015-03-31,49.09,49.1462,48.58,48.63,12785446.0,0.0,1.0,44.30557149049922,44.356294104428045,43.84527730715934,43.890404187878936,12785446.0
2015-06-30,47.14,47.25,46.6,46.61,15044104.0,0.0,1.0,43.02191243061611,43.12230297722977,42.52908611087634,42.53821252420486,15044104.0
2015-09-30,43.83,44.0,43.2845,43.51,20277728.0,0.0,1.0,40.47338795916091,40.630368930026926,39.96966372617615,40.17789436694253,20277728.0
2015-12-31,46.52,46.65,46.205,46.22,11489639.0,0.0,1.0,43.51087972011135,43.63247074254502,43.21625531959898,43.23028505295672,11489639.0
2016-03-31,54.01,54.26,53.92,54.08,12426088.0,0.0,1.0,51.143409108574964,51.380140311632616,51.05818587547421,51.209693845431104,12426088.0
2016-06-30,55.27,55.92,54.79,55.84,22143337.0,0.0,1.0,52.8890407606285,53.51103961162195,52.42971853220255,53.4344859068843,22143337.0
2016-09-30,52.43,52.57,51.96,51.98,13077552.0,0.0,1.0,50.67523835010218,50.81055273821994,50.22096861856397,50.24029924543793,13077552.0
2016-12-31,53.55,53.64,53.17,53.38,12440227.0,0.0,1.0,52.352344714648176,52.44033184862238,51.98084348231267,52.18614679491914,12440227.0
2017-03-31,49.1,49.1,48.75,48.75,19299124.0,0.0,1.0,48.52190503397474,48.52190503397474,48.176025873854755,48.176025873854755,19299124.0
2017-06-30,44.62,44.75,44.36,44.66,13204705.0,0.0,1.0,44.62,44.75,44.36,44.66,13204705.0
2017-09-30,49.3,49.83,49.01,49.49,12677001.0,0.0,1.0,49.3,49.83,49.01,49.49,12677001.0
2017-12-31,53.37,53.46,52.93,52.93,9916232.0,0.0,1.0,53.37,53.46,52.93,52.93,9916232.0
2018-03-31,47.1,47.9024,46.84,47.31,13995096.0,0.0,1.0,47.1,47.9024,46.84,47.31,13995096.0
