Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,36.48,37.77,36.32,36.95,1359400.0,0.0,1.0,36.48,37.77,36.32,36.95,1359400.0
2009-06-30,51.35,51.72,50.8,51.47,833400.0,0.0,1.0,51.35,51.72,50.8,51.47,833400.0
2009-09-30,55.26,56.19,54.59,55.86,894400.0,0.0,1.0,55.26,56.19,54.59,55.86,894400.0
2009-12-31,62.21,62.63,61.8,61.96,433600.0,0.0,1.0,62.21,62.63,61.8,61.96,433600.0
2010-03-31,67.62,67.75,67.04,67.54,495200.0,0.0,1.0,67.62,67.75,67.04,67.54,495200.0
2010-06-30,65.36,66.39,64.6,64.7,1330000.0,0.0,1.0,65.36,66.39,64.6,64.7,1330000.0
2010-09-30,71.37,72.26,70.66,70.78,696300.0,0.0,1.0,71.37,72.26,70.66,70.78,696300.0
2010-12-31,78.29,78.42,77.67,77.71,286400.0,0.0,1.0,78.29,78.42,77.67,77.71,286400.0
2011-03-31,86.65,87.11,86.3664,86.9,332500.0,0.0,1.0,86.65,87.11,86.3664,86.9,332500.0
2011-06-30,95.58,96.96,95.55,95.74,605900.0,0.0,1.0,95.58,96.96,95.55,95.74,605900.0
2011-09-30,76.59,77.11,75.34,75.49,1052000.0,0.0,1.0,76.59,77.11,75.34,75.49,1052000.0
2011-12-31,73.93,74.61,73.8,74.05,289400.0,0.0,1.0,73.93,74.61,73.8,74.05,289400.0
2012-03-31,92.28,92.96,91.91,92.66,519300.0,0.0,1.0,92.28,92.96,91.91,92.66,519300.0
2012-06-30,78.23,79.56,78.23,79.47,1171800.0,0.0,1.0,78.23,79.56,78.23,79.47,1171800.0
2012-09-30,83.69,83.78,82.83,83.33,747500.0,0.0,1.0,83.69,83.78,82.83,83.33,747500.0
2012-12-31,86.09,87.28,85.8,87.12,678100.0,0.0,1.0,86.09,87.28,85.8,87.12,678100.0
2013-03-31,93.31,94.0,92.83,93.91,617000.0,0.0,1.0,93.31,94.0,92.83,93.91,617000.0
2013-06-30,100.03,100.8,99.16,100.05,554000.0,0.0,1.0,100.03,100.8,99.16,100.05,554000.0
2013-09-30,106.51,106.82,105.91,106.21,386600.0,0.0,1.0,106.51,106.82,105.91,106.21,386600.0
2013-12-31,100.5,100.5,99.65,100.0,322600.0,0.0,1.0,100.5,100.5,99.65,100.0,322600.0
2014-03-31,108.45,108.6899,107.84,108.41,365800.0,0.0,1.0,108.45,108.6899,107.84,108.41,365800.0
2014-06-30,105.1,105.48,104.075,104.44,378400.0,0.0,1.0,105.1,105.48,104.075,104.44,378400.0
2014-09-30,100.01,100.15,99.08,99.12,553665.0,0.0,1.0,100.01,100.15,99.08,99.12,553665.0
2014-12-31,114.24,114.91,112.6,112.72,195111.0,0.0,1.0,114.24,114.91,112.6,112.72,195111.0
2015-03-31,124.48,125.86,124.2,124.32,300431.0,0.0,1.0,124.48,125.86,124.2,124.32,300431.0
2015-06-30,128.68,129.72,127.74,128.38,634942.0,0.0,1.0,128.68,129.72,127.74,128.38,634942.0
2015-09-30,118.5,119.61,116.285,118.21,582138.0,0.0,1.0,118.5,119.61,116.285,118.21,582138.0
2015-12-31,134.98,135.87,134.58,134.58,319224.0,0.0,1.0,134.98,135.87,134.58,134.58,319224.0
2016-03-31,132.16,132.87,131.3,131.92,603453.0,0.0,1.0,132.16,132.87,131.3,131.92,603453.0
2016-06-30,134.41,140.75,134.385,140.65,814084.0,0.0,1.0,134.41,140.75,134.385,140.65,814084.0
2016-09-30,156.98,159.1,156.44,158.49,433164.0,0.0,1.0,156.98,159.1,156.44,158.49,433164.0
2016-12-31,135.24,135.3,133.71,134.39,464274.0,0.0,1.0,135.24,135.3,133.71,134.39,464274.0
2017-03-31,155.96,157.0,154.9365,156.31,248704.0,0.0,1.0,155.96,157.0,154.9365,156.31,248704.0
2017-06-30,183.0,184.475,183.0,183.84,339984.0,0.0,1.0,183.0,184.475,183.0,183.84,339984.0
2017-09-30,178.47,179.98,178.21,179.52,334077.0,0.0,1.0,178.47,179.98,178.21,179.52,334077.0
2017-12-31,195.52,195.66,193.16,193.19,204477.0,0.0,1.0,195.52,195.66,193.16,193.19,204477.0
2018-03-31,205.22,206.57,199.45,200.52,594394.0,0.0,1.0,205.22,206.57,199.45,200.52,594394.0
