Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,12.1,12.75,11.93,12.57,8746400.0,0.0,1.0,9.7738335953857,10.298874243072,9.6365152721448,10.153478371405,8746400.0
2009-06-30,16.67,16.71,16.24,16.4,6909300.0,0.0,1.0,13.46527322604,13.497583419743,13.117938643724,13.247179418539,6909300.0
2009-09-30,19.33,19.36,18.71,18.92,7906600.0,0.0,1.0,15.613901107339,15.638133752617,15.113093104931,15.282721621876,7906600.0
2009-12-31,19.02,19.14,18.82,18.85,2418200.0,0.0,1.0,15.411936928856,15.50917312399,15.249876603631,15.274185652415,2418200.0
2010-03-31,16.98,17.09,16.9,16.96,7401800.0,0.0,1.0,13.808060617321,13.897512128976,13.743004972481,13.791796706111,7401800.0
2010-06-30,15.01,15.12,14.87,14.91,8062000.0,0.0,1.0,12.251189449502,12.340971650665,12.136921193478,12.169569266628,8062000.0
2010-09-30,17.55,17.73,17.41,17.67,8354600.0,0.06,1.0,14.372981626251,14.520396822418,14.258325362566,14.471258423696,8354600.0
2010-12-31,18.53,18.71,18.47,18.57,2496800.0,0.0,1.0,15.233655859311,15.381635247043,15.184329396734,15.266540167696,2496800.0
2011-03-31,21.13,21.16,20.75,20.77,8258500.0,0.0,1.0,17.430684362377,17.455432139512,17.117212518661,17.133711036752,8258500.0
2011-06-30,20.04,20.17,19.91,20.03,4556800.0,0.0,1.0,16.598410483569,16.706084803073,16.490736164065,16.590127843607,4556800.0
2011-09-30,15.1,15.68,15.05,15.29,8420600.0,0.0,1.0,12.572352719041,13.055264280435,12.530722412024,12.730547885705,8420600.0
2011-12-31,18.39,18.48,18.22,18.26,2446300.0,0.0,1.0,15.382228082334,15.457508154515,15.240032390436,15.273490200294,2446300.0
2012-03-31,18.0,18.0,17.57,17.6,6884400.0,0.0,1.0,15.139427258577,15.139427258577,14.777763162955,14.80299554172,6884400.0
2012-06-30,16.72,16.84,16.58,16.84,4724300.0,0.0,1.0,14.151180222954,14.252743717377,14.032689479461,14.252743717377,4724300.0
2012-09-30,18.36,18.39,18.185,18.22,4599000.0,0.0,1.0,15.622356512155,15.647883238483,15.473450608581,15.503231789296,4599000.0
2012-12-31,13.38,13.62,13.2,13.61,6289800.0,0.0,1.0,11.492324846977,11.698465202976,11.337719579977,11.689876021476,6289800.0
2013-03-31,14.93,15.05,14.82,15.04,7010900.0,0.0,1.0,12.933968419766,13.037925299228,12.838674613592,13.029262225939,7010900.0
2013-06-30,16.86,17.19,16.73,17.11,7326000.0,0.0,1.0,14.716325040603,15.004366989796,14.602853969708,14.934538638476,7326000.0
2013-09-30,18.52,18.72,18.48,18.66,4262700.0,0.0,1.0,16.274488082717,16.450238493978,16.239338000465,16.3975133706,4262700.0
2013-12-31,17.25,17.36,17.1,17.25,2882900.0,0.0,1.0,15.274221848513,15.371622683489,15.141402528092,15.274221848513,2882900.0
2014-03-31,16.27,16.42,16.26,16.36,3519800.0,0.0,1.0,14.518529230099,14.652381681514,14.509605733338,14.598840700948,3519800.0
2014-06-30,17.25,17.38,17.2,17.34,8587600.0,0.0,1.0,15.513440485208,15.630353370024,15.468473991048,15.594380174696,8587600.0
2014-09-30,16.12,16.17,15.97,16.04,4556416.0,0.0,1.0,14.604488996922,14.649788280411,14.468591146454,14.532010143339,4556416.0
2014-12-31,18.02,18.095,17.9,17.91,3135389.0,0.0,1.0,16.445763809535,16.514211772116,16.336247069404,16.345373464415,3135389.0
2015-03-31,20.29,20.87,20.25,20.81,12186656.0,0.0,1.0,18.664570064332,19.198106320483,18.627774460459,19.142912914674,12186656.0
2015-06-30,20.54,20.61,20.275,20.33,5592854.0,0.0,1.0,19.030949393436,19.095806572479,18.785418644202,18.836377856307,5592854.0
2015-09-30,18.31,18.51,18.0099,18.36,4889868.0,0.0,1.0,17.10990316913,17.296794519967,16.829472697199,17.156626006839,4889868.0
2015-12-31,18.1,18.1878,17.91,17.91,2209982.0,0.0,1.0,17.05866826977,17.141416947896,16.87959937633,16.87959937633,2209982.0
2016-03-31,19.33,19.525,19.27,19.29,4740376.0,0.0,1.0,18.375634506119,18.561006918364,18.318596840813,18.337609395915,4740376.0
2016-06-30,18.84,19.18,18.735,19.18,3508755.0,0.0,1.0,18.061284216108,18.387230958861,17.96062419261,18.387230958861,3508755.0
2016-09-30,20.57,20.91,20.52,20.82,6330773.0,0.0,1.0,19.875204757764,20.203720538884,19.826893613481,20.116760479176,6330773.0
2016-12-31,21.84,21.9,21.6,21.72,2549166.0,0.0,1.0,21.260525688122,21.318933725727,21.026893537703,21.143709612912,2549166.0
2017-03-31,20.46,20.465,20.255,20.35,5600251.0,0.0,1.0,20.089861320937,20.094770866714,19.888569944065,19.981851313835,5600251.0
2017-06-30,18.87,19.14,18.84,19.05,4462501.0,0.0,1.0,18.697243002877,18.964771122155,18.667517656291,18.875595082396,4462501.0
2017-09-30,19.03,19.2,19.03,19.2,2892158.0,0.0,1.0,19.03,19.2,19.03,19.2,2892158.0
2017-12-31,19.08,19.15,19.005,19.01,2748771.0,0.0,1.0,19.08,19.15,19.005,19.01,2748771.0
2018-03-31,19.22,19.29,18.78,18.89,5393243.0,0.0,1.0,19.22,19.29,18.78,18.89,5393243.0
