Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,26.53,27.39,26.25,26.85,2453100.0,0.0,1.0,25.281734275509,26.101270328164,25.014908583947,25.586677923009,2453100.0
2009-06-30,30.89,30.96,30.32,30.57,1432500.0,0.0,1.0,29.486148023991,29.552966747257,28.94205270597,29.180691003348,1432500.0
2009-09-30,34.38,34.68,33.56,34.54,1925000.0,0.0,1.0,32.865927830635,33.152716031601,32.08204008133,33.018881537817,1925000.0
2009-12-31,35.59,35.64,35.17,35.17,489300.0,0.0,1.0,34.070871939865,34.118737733543,33.668799272971,33.668799272971,489300.0
2010-03-31,34.65,35.01,34.61,34.88,1342500.0,0.0,1.0,33.219405694465,33.564542377004,33.181057174182,33.439909686087,1342500.0
2010-06-30,30.0,30.43,29.9087,29.91,1116400.0,0.0,1.0,28.807689938335,29.220600160784,28.720018535289,28.72126686852,1116400.0
2010-09-30,32.03,32.44,31.54,31.97,802700.0,0.0,1.0,30.80604889142,31.200381705828,30.334773088835,30.748341650287,802700.0
2010-12-31,34.33,34.42,34.1,34.17,424000.0,0.0,1.0,33.065956790223,33.152642957165,32.844425474705,32.911848048993,424000.0
2011-03-31,36.61,37.15,36.56,36.99,892300.0,0.0,1.0,35.310737704818,35.831573497241,35.262512168482,35.677251780967,892300.0
2011-06-30,37.71,38.2,37.66,38.08,1836100.0,0.0,1.0,36.420233931078,36.893474838695,36.371944042546,36.777579106217,1836100.0
2011-09-30,31.07,31.37,30.65,30.69,1123400.0,0.0,1.0,30.055363841434,30.345566903952,29.649079553909,29.687773295578,1123400.0
2011-12-31,35.45,35.45,34.96,34.99,568800.0,0.0,1.0,34.34644844144,34.34644844144,33.871702045494,33.900768151368,568800.0
2012-03-31,40.09,40.32,39.96,40.13,463000.0,0.0,1.0,38.895400559849,39.118547033503,38.769274292132,38.934208642224,463000.0
2012-06-30,37.37,37.88,37.28,37.81,789800.0,0.0,1.0,36.310331120574,36.805869490162,36.222883173,36.737854419826,789800.0
2012-09-30,38.08,38.23,37.63,38.14,1159700.0,0.0,1.0,37.054306502497,37.200266218237,36.616427355278,37.112690388793,1159700.0
2012-12-31,39.12,39.64,38.76,39.61,794600.0,0.0,1.0,38.119230556808,38.625927895498,37.768440091561,38.596695356727,794600.0
2013-03-31,41.89,42.5,41.63,42.44,668100.0,0.0,1.0,40.879254890854,41.474536473175,40.625528314783,41.415984186389,668100.0
2013-06-30,41.01,41.37,40.8,40.96,1224800.0,0.0,1.0,40.082293812441,40.43415008585,39.87704431962,40.033424885579,1224800.0
2013-09-30,43.08,43.46,42.98,43.415,783500.0,0.0,1.0,42.166061253099,42.537999583558,42.068182745083,42.493954254951,783500.0
2013-12-31,48.55,48.69,48.32,48.48,434400.0,0.0,1.0,47.580951238135,47.718156864775,47.355541994371,47.512348424816,434400.0
2014-03-31,45.66,46.19,45.41,46.04,783400.0,0.0,1.0,44.813834056216,45.334012156299,44.568467027875,45.186791939294,783400.0
2014-06-30,47.54,47.67,47.22,47.35,669300.0,0.0,1.0,46.723366420039,46.851133303392,46.408863322555,46.536630205908,669300.0
2014-09-30,45.9,46.06,45.51,45.6,744400.0,0.0,1.0,45.176199217987,45.333676165152,44.792349159272,44.880929942052,744400.0
2014-12-31,53.55,54.19,53.22,53.27,763644.0,0.0,1.0,52.769983668017,53.400661343975,52.444790491352,52.494062184786,763644.0
2015-03-31,51.08,51.41,50.87,50.89,702109.0,0.0,1.0,50.407459137342,50.733114217908,50.200224086072,50.219960757622,702109.0
2015-06-30,51.81,52.15,51.43,51.55,663778.0,0.0,1.0,51.198844947394,51.534834279225,50.823327458879,50.941911928936,663778.0
2015-09-30,51.21,51.35,50.32,50.57,1540873.0,0.0,1.0,50.674709201354,50.813245801396,49.794012243939,50.04139902973,1540873.0
2015-12-31,61.2,61.57,60.75,60.85,417853.0,0.0,1.0,60.632761567527,60.999332184847,60.186932438354,60.28600557817,417853.0
2016-03-31,62.16,62.34,61.49,61.63,1657752.0,0.0,1.0,61.662221113103,61.84077966845,60.997586490424,61.136465366804,1657752.0
2016-06-30,61.72,62.05,61.36,62.04,1642697.0,0.0,1.0,61.300504298014,61.628261368953,60.942951129717,61.6183293365,1642697.0
2016-09-30,59.36,59.66,59.01,59.43,1505778.0,0.0,1.0,59.03315651392,59.331504676894,58.685083657116,59.10277108528,1505778.0
2016-12-31,58.29,58.36,57.54,57.73,949418.0,0.0,1.0,58.046306900458,58.116014251342,57.2994424267,57.488648093386,949418.0
2017-03-31,62.26,62.7,62.18,62.44,1061380.0,0.0,1.0,62.08590231092,62.524671938559,62.006126014985,62.265398976772,1061380.0
2017-06-30,64.9,65.05,64.45,64.84,744390.0,0.0,1.0,64.804811436856,64.954591432473,64.355471450006,64.74489943861,744390.0
2017-09-30,59.04,59.88,58.72,59.81,1073841.0,0.0,1.0,59.04,59.88,58.72,59.81,1073841.0
2017-12-31,66.3,66.72,65.77,65.83,909355.0,0.0,1.0,66.3,66.72,65.77,65.83,909355.0
2018-03-31,51.15,51.27,49.86,50.03,3051143.0,0.0,1.0,51.15,51.27,49.86,50.03,3051143.0
